,Title,Price,Availability
43,Crash Bandicoot 4: It's About Time - Xbox One,$37.00 ,In Stock
44,"Marvel's Guardians of the Galaxy - Xbox One, Xbox Series X|S",$23.99 ,In Stock
45,Redfall: Standard Edition - Xbox Series X,$69.99 ,Release Date: 05/02/2023
46,Soul Hackers 2 Xbox Series X & S Games,$65.99 ,In Stock
47,Yakuza: Like a Dragon Day Ichi Edition - Xbox One,$19.13 ,In Stock
48,Mount & Blade 2: Bannerlord - Xbox Series X,$54.45 ,In Stock
49,Among Us: Imposter Edition Xbox Series X & S Games,$56.99 ,In Stock
50,"Back 4 Blood Standard Edition- Xbox One, Xbox Series X|S",$39.99 ,In Stock
51,NHL 22 - Xbox Series X,$34.12 ,In Stock
52,The King of Fighters XV (Xbox Series X Only) - Xbox Series X Games,$34.87 ,In Stock
53,Judgement - Xbox Series X Games,$44.81 ,In Stock
54,NFS Unbound - Xbox Series X,$44.99 ,In Stock
55,F1 Manager 2022 Xbox Series X & S Games,$61.99 ,In Stock
56,Hogwarts Legacy - Xbox Series X | English | EU Import Region Free Version,$59.95 ,In Stock
57,Control Ultimate Edition - Xbox One,$45.43 ,In Stock
58,"FIFA 23 Standard Edition - Xbox Series S, Xbox Series X",$69.99 ,In Stock
59,Thymesia - Xbox Series X,$34.87 ,In Stock
60,A Plague Tale: Requiem - Xbox Series X,$64.03 ,In Stock
61,Fortnite: Last Laugh Bundle (Code In Box) - Xbox Series X Games,$34.87 ,In Stock
62,Foreclosed - Xbox Series X Games,$30.30 ,In Stock
63,One Piece Odyssey - Xbox Series X,$64.99 ,In Stock
64,NBA 2K22 75th Anniversary Edition - Xbox Series X Games,$100.90 ,In Stock
65,Goat Simulator 3 - Xbox Series X,$34.75 ,In Stock
66,EA Sports PGA Tour: Road To The Masters- Xbox Series X|S,$69.99 ,Release Date: 03/24/2023
67,Hello Neighbor 2 - Xbox Series X,$44.49 ,In Stock
68,Way of The Hunter - Xbox Series X,$44.81 ,In Stock
69,The Chant - Xbox Series X,$44.81 ,In Stock
70,Dragon Ball Z Kakarot - Xbox Series X,$27.99 ,In Stock
71,"Hades - Xbox One, Xbox Series X|S",$25.62 ,In Stock
72,The Quarry - Xbox Series X Games,$43.37 ,In Stock
73,Dolmen - Xbox Series X,$34.99 ,In Stock
74,Diablo IV - Xbox Series X|S,$69.99 ,Release Date: 06/06/2023
75,Dead Island 2 Day 1 Edition- Xbox Series X|S,$69.99 ,Release Date: 04/28/2023
76,Isonzo Deluxe Edition - Xbox Series X,$44.55 ,In Stock
77,TONY HAWK PRO SKATER 1+2 - Xbox Series X,$110.90 ,In Stock
78,Garfield Lasagna Party - Xbox Series X,$44.81 ,In Stock
79,Ubisoft Just Dance 2022 for Xbox One and Xbox Series X #11033,$32.99 ,In Stock
80,Vampire: The Masquerade - Swansong Xbox Series X Game,$54.45 ,In Stock
81,PAW PATROL GRAND PRIX XBOX,$54.45 ,In Stock
82,Hello Neighbor 2: Deluxe Edition - Xbox Series X,$63.67 ,In Stock
83,Temtem - Xbox Series X,$49.79 ,In Stock
84,MANEATER APEX EDITION | XBOX (RECD),$37.99 ,In Stock
85,Raiden IV x MIKADO remix Deluxe Edition - PlayStation 5,$44.55 ,In Stock
86,"Gungrave G.O.R.E - Xbox One, Xbox Series X",$54.76 ,In Stock
87,Assassins Creed Valhalla - XBox One,$42.44 ,In Stock
88,Resident Evil 4- Xbox Series X|S,$59.99 ,Release Date: 03/24/2023
89,No More Heroes 3 Day 1 Edition - Xbox Series X,$43.57 ,In Stock
90,Super Monkey Ball Banana Mania Standard Edition - Xbox Series X Games,$44.81 ,In Stock
91,STAR TREK PRODIGY SUPERNOVA XBOX,$34.67 ,In Stock
92,Lost Judgment - Xbox Series X Games,$65.26 ,In Stock
93,HOKKO LIFE XBOX,$34.87 ,In Stock
94,IRON HARVEST | (SERIES X ONLY) XBSX (RECD),$29.99 ,In Stock
95,"Dying Light 2: Stay Human Deluxe Edition- Xbox One, Xbox Series X|S",$80.99 ,In Stock
96,Tropico 6 : Next Gen Edition - Xbox Series X,$54.44 ,In Stock
97,SESSION SKATE SIM XBOX,$54.45 ,In Stock
98,Fallen Legion: Rise to Glory / Fallen Legion Revenants Deluxe Edition - Xbox Series X,$65.99 ,In Stock
99,Call Of Duty: Black Ops Cold War - Xbox One,$44.51 ,In Stock
100,Immortals Fenyx Rising Gold Edition - Xbox One,$47.65 ,In Stock
101,FIFA 21 Standard Edition - Xbox One,$10.14 ,In Stock
102,FIFA 21 Champions Edition - Xbox One,$9.00 ,In Stock
103,Sonic Colors: Ultimate - Xbox Series X Games,$44.81 ,In Stock
104,In Sound Mind: Deluxe Edition - Xbox Series X Games,$44.81 ,In Stock
105,Train Life: A Railway Simulator - The Orient-Express Edition (Xbox Series X),$44.55 ,In Stock
106,TOUR DE FRANCE 2022 XBOX,$44.55 ,In Stock
107,Two Point Campus Enrollment Launch Edition Xbox Series X Games,$44.81 ,In Stock
108,GHOSTBUSTERS SPIRITS UNLEASHED XBOX,$44.81 ,In Stock
109,Zorro the Chronicles - Xbox Series X,$44.55 ,In Stock
110,JOJO SIWA WORLDWIDE PARTY | XBOX (RECD),$42.99 ,In Stock
111,PAC-MAN MUSEUM+ - Xbox Series X Games,$27.99 ,In Stock
112,Beyond A Steel Sky - XBox Series X,$54.45 ,In Stock
113,Alfred Hitchcock: Vertigo Limited Edition - Xbox Series X,$54.76 ,In Stock
114,Lego Brawls - Xbox Series X Games,$24.32 ,In Stock
115,BRATZ FLAUNT YOUR FASHION | XBOX (RECD),$46.99 ,In Stock
116,Subnautica: Below Zero - Xbox Series X Games,$24.46 ,In Stock
117,Immortals: Fenyx Rising - Xbox Series X / Xbox One,$44.81 ,In Stock
118,Puyo Puyo Tetris 2 Launch Edition - Xbox One,$8.00 ,In Stock
119,NHL 21 Great Eight Edition - Xbox One,$52.99 ,In Stock
120,Five Nights At Freddy's: Core Collection - Xbox One,$67.51 ,In Stock
121,FIFA 21 Ultimate Edition - Xbox One,$9.00 ,In Stock
122,JoJo’s Bizarre Adventure All-Star Battle R - Xbox Series X,$38.99 ,OUT OF STOCK
123,Hogwarts Legacy - Xbox Series X,$69.99 ,OUT OF STOCK
124,"Among Us: Crewmate Edition - Xbox One, Xbox Series X|S",$33.99 ,OUT OF STOCK
125,TRAIN SIM WORLD 2 RUSH HOUR DELUXE EDITION XBOX,$46.99 ,OUT OF STOCK
126,Monster Truck Championship - Xbox Series X Games,COMING SOON,OUT OF STOCK
